id;masalah;solusi
1;Kecepatan Internet Tidak Stabil;sa
2;Tidak bisa terhubung ke jaringan Wifi Meskipun jaringan tersedia;sda
3;Tidak dapat menemukan jaringan wifi;asd
4;Lampu indikator LAN yang tidak berkedip;safsaf
5;Muncul notifikasi maintenance;sagas
6;Tidak bisa mengakses situs;agasg
7;Alamat IP tidak terbaca;asgasgas
8;Router wifi tidak menyala;asgsagas
9;Gangguan koneksi pada penyedia layanan internet;sagasga
10;Bandwith lemah atau hilang;sgagaga
11;Modem tereset otomatis;asgagahh
